,Name,Reviews,Rating
0,Flipkart Customer,Its my first smart watch... And my experience of 2 weeks is wonderful 😇😇I loved it alot...🥰😍😘👌👌Its superb....👑👑👍✌Its pink colour is so cute and eye pleasing 😍❤😊READ MORE,5
1,Ramkumar Srinivasan,The delivery was blazing speed. I ordered 2 units and the decision made is worth it. The da fit app is easy to use and sync the device with few clicks. The beige version is actually pink in color so not suitable for men. Heart Rate and SPO2 measurements were pretty fast.READ MORE,5
2,Arya Anikumar,"Such an amazing product I ever purchased . Good quality . Amazing functions . I used many smartwatches but fire boltt ninja is amazing , I loved it. Those who are interested to buy ninja , never chage your mind becoz it's an amazing product .READ MORE",5
3,Abhijeet Sengupta,"Lovely stylish watch at good price, gorgeous watch as describe, arrived promptly before time, well packed, happy with my purchase, you won't find a better watch than this at this price, well made watch, you won't be disappointed.READ MORE",5
4,Flipkart Customer,The watch is very well design also the touch response is very well and my battery goes upto 6 days with a normal usage of the watch and 4-5 days with continues heart rate tracking and other features. Also the app of this watch i.e. daFit is very good with premium features and also there are much watch faces as we required. Honesty its really a very great watch in this price range. Also it comes with a great magnetic charging USB that charge the watch from 0% to 100% in just 1.30-2.00 hours al...READ MORE,5
5,Amena Ujjainwala,I have used many smart watches but Ninja is a good one. Its gud to see so many features in such an affordable price. I love it. I recommend it all those who are looking for a good watch in a budget friendly price.READ MORE,5
6,Flipkart Customer,"LOVELY stylish watch at good price, gorgeous as discribed arrived before time.well packed happy with my purchase u want find a better watch at this price well made watch.u wont be dissapointed lovely i m fully satisfied as expected😍😍😍😍😍READ MORE",5
7,Flipkart Customer,Very very nice product in this price it offers everything but battey life is only 2 day and display was small activity traking is best it also contain music control then it is the best smart watch.READ MORE,5
8,Deepayan Dutta Gupta,"The smartwatch - Fire Boltt Ninja is a unique way to motivate people to stay fit. There are other companies who are actually taking advantage by charge enormous amount. However, Boltt is doing great work by keeping the price competitive. The display, touch sensitivity, metal and glass body has a very premium feel. This works correctly as per my personal tests on various factors.READ MORE",4
9,Bhakti  Dhamnaskar,Its my first smart watch I love this product fully stylish With Good  feature its look like awesome Wonderful 🤩❤️❤️🤩Definitely buy this👍READ MORE,4
10,Karthikeyan  Mani,"Hi, I appreciate the Fire Boltt Ninja to use product. Is one of the valuable and worth for the money. I recommend customers to buy it and without any second thought. ThanksREAD MORE",5
11,Vandana Pundir,Loved the product but missing 2 important features i.e music control & call control. Apart of that simply loved the watch at this affordable price.READ MORE,5
12,Murari Kumar,Nice product and six day use battery backup is very good and I m very happy 😁 thank you flipkartREAD MORE,4
13,anjali bhatia,Value for money 👍Loved the product as well as the features. Everything was accurate. Nicely working magnetic charger. Correct weather update. Awesome product!READ MORE,5
14,Sandeep Singh,"Fire Boltt Ninja is a feature packed watch. Im amazed to see a lot of good features at such an affordable price especially the SPO2. Its very easy, bcos of its touch to wake n lift to wake features.READ MORE",5
15,Sunil Kumar,"Awesome watch in this process range ☺. Loved it, custom watch is available. Good product. Honest reviewREAD MORE",5
16,Priyanka Choudhury,I bought this as RakshaBandhan Gift for my brother.He is soooo happy to have it.Worth the money.I am gonna order one more for myself too.Amazing smart watch at this nominal Price. Thankyou flipkart as well as FireBolt ⭐⭐⭐⭐⭐READ MORE,5
17,aman kumar dwivedi,"Great watch at this price, Happy with it.Nice Job fire boltt, you have set fire in the industry of smart watches and I think many player will get bold, Fire Boltt🤔☺️☺️☺️👌READ MORE",5
18,Payal,"Fire-Boltt Beast Smart Watch is a steal at this price. It super amazing and super awesome with a tons of features. It has wide screen of 1.69"" HD. No other brand had that. It measures my blood oxygen levels so accurately. Its 24*7 heart rate sensor monitors my heart rate. It provides a detailed report after analysing my blood pressure. I love its 10 sports mode and its water resistance. I strongly recommend it to all fitness enthusiasts.READ MORE",5
19,dhananjai kumar,Awesome product at a genuine price. All the features are functioning well. It's really a beautiful sturdy smart watch. Just go for it without a second thought. FULLLLL PAISA WASOOOOL 🙂READ MORE,5
20,Munzir Ali Sayyed,I am first time using any of smart watchFirst of all thanks to flipkart and e kart for fast deliveryI found this smart watch very much usefulREAD MORE,4
21,gaurav sharma,"Worth the price, Good points1. Quality of product (metal frame and strap feels good)2. Display (touch and auto wake with hand raise)3. Basic features (insted of buying oximeter buy this)4. NotificationCons:1. Can't receive, diconnect or silent the call from watch2. Can't dial call from phone, no phonebookReceived it today so may be later update complete review, but it's worth the price with splash proof feature.READ MORE",4
22,Ajay Mistry,"Design is perfect make your app more featured, there is no specific mode for workout, no basic controls like declining calls and silent phone when phone is ringing, no music control, make your message tray scroll able. Rest value for money and good build qualityREAD MORE",4
23,Taher Udaipurwala,"Nyc Its a great watch with super amazing display,spo2 function, heart rate tracker. No  other brand has all these at such an affordable price.This watch has been loaded with amazing features and I am very much satisfied by using it. In short, it is a very great product packed with gud features.READ MORE",5
24,Ishita Bhatnagar,"Its black neutral colour looks absolutely stunning. It is budget-friendly, easy to handle and can monitor all activities like heart rate, oxygen levels, sleep patterns, calories burnt, etc. It has a long battery life and large display which is clear and easy to read.READ MORE",5
25,Rajashree  Sinha,Nice product but battery is not good.... Overall looking is too good. Charging cable is good.... But super fast change 🤩 but main problem is battery is not goodREAD MORE,5
26,Anoop Jaglan,"Good looking watch, touchscreen works well, lots of features and easy to handle. Battery backup is perfect and requires less charging time. You can surely go for itREAD MORE",5
27,Shaik Jaffar,I bought it on sept5 2021....i giving review after 8 months....watch is jst awesome in reasonable price...battery last upto 5 days.... activity tracker is good...touch is also gud....the material is hard which is also very gud as my watch slipped so many times bt it still doesn't broke....till now it's working perfectly fine....u can go for it...READ MORE,5
28,Flipkart Customer,This is my dream watch my first purchased smartwatch for me it's amazing watch heart rate effect BP perfect oxygen footstep everything perfect I am happy with this purchase I paid for 1800 thank you FlipkartREAD MORE,5
29,Anumol  Chandrasekharan,One of the best budget smartwatches out in the market out there.display size is adequately large enough for the price.features are also less.but it have most of the essential modes in it.definitly its a good one with super build qualityREAD MORE,5
30,Sunil Kumar,"Nice smartwatch in this range which has BP, Heart Rate, and SPO2 features. Works perfectly as specified. Liked it and it's my first smartwatch. Setting smartwatch and app integrations are easy and anyone can do it.READ MORE",5
31,Chirantan Dey,It's working fine so far. Easy to operate. Touch to wake feature is special. Satisfied with the performance so far. I would recommend it for those who are looking for a good smartwatch.READ MORE,5
32,Pooja,First time I tried fitness watch and it is a great expereince. This one is a great user friendly watch and great support for those who wish to start fitness journey!Worth the price!!READ MORE,5
33,Rajesh,"Product is amazing. Built quality is best . Having smooth display , easy to operate , feels light and strong , we can use it couples of days on single charge . Overall watch is worth more than any other.READ MORE",5
34,Flipkart Customer,Has good metal body and surface with good screening and easy to fit enough for all types. Battery might be an issue as it got completed within 5 hours but say the quality is good enough with the features.READ MORE,5
35,Shikhar Saxena,The watch is value for money device. It's a smart watch in budget and it's good for first time users with limited budget or for people who do not want to use tracking functions. It's a watch with look and give a right time. Pros :1 - pocket friendly watch with metal body and light weight. 2- decent screen quality with camera and notifications functions. Cons :1- activity tracking not acurate. But it is with most of the watch's around. Verdict - use it when you want a smart watch for lo...READ MORE,4
36,ABINASH  SAMAL,Nice watch. I find a watch like this . I really love in this product . Thank you fore bolt. Battery backup is good.READ MORE,5
37,Syed Ramish Abbas,"The watch is one of the best among its type , no doubt about it. It is very light, cool ergonomic design, nice Interface and absolute value for money. Even the app is very easy to understand so the navigation between phone and the app is very smooth. I really enjoy it and it's my fitness partner now onwards.READ MORE",4
38,Amrit,Lovely smart touch watch..have enough features in it..can track each and everything for oir health..cn also track sp02 with it.watch looks awesome..gives very good response and touch is very fast nd accurate.tnxREAD MORE,5
39,Pushpendra Pratap Singh,"Best watch at this price comes with very good features Touch to wakeLift to wake Full metal frame , SpO2 blood oxygen monitorHeart Rate and Blood pressure trackingBattery life was good Full featured pack watch at this priceHappy with itREAD MORE",5
40,Ashish Raj,"Best smartwatch available in its price band. With features like step counter, calorie burnt and notifications for incoming calls/messages that is all a typical person needs for his well being and day to day activities.The exercise mode selection is just a plus at this price point and is pretty accurate in its metrics reportedREAD MORE",5
41,Rudresh singh Rajpoot,Decent look but awesome touch response best product under 2k better than boat strom!READ MORE,4
42,Musharraf Ansari,This is my first smart watch and I'm in love with it... thank you for providing this in very decent design and ofcourse best price...quality is too good and the performance is OK...READ MORE,5
43,dev Kumar,It's an amazing smartwatch at this price range giving all features at its mark is so amazing . Only thing is the watch is quite thick if it would have been thin then would be the best in all ways. Anyways a truly worth buying product from fire boltREAD MORE,5
44,Vineeta Rai,"It looks fashionable, is lightweight, durable and comes off quite handy in monitoring my health and other activities. Its screen is scratch resistant and being water resistant, it can be safely used during workouts in summers. Its touch screen works perfectly and charges easily via USB.READ MORE",5
45,Karthikeyan P,"I am writing this review after 4 days of usage. I bought the grey one and it is excellent. This is my first smart band / watch and I did not have any expectation when I bought this. To my surprise, It does the job perfectly well. Pros:1. All basic features at this price is amazing. I bought this for 1799 introductory offer2. Watch smart faces are really coolCons:1. Google Fit integration is missing in DA Fit App. I would expect the feature in the future upgradeREAD MORE",5
46,Mitter sen,"The best part of watch- Its oxygen feature and its large display size. Im amazed to see a lot of good features at such an affordable price especially the calling feature. Its very easy, all uh need to do is connect it to the application and then do manual pairingREAD MORE",5
47,SANDEEP GOSWAMI,Wonderful product . Classy look . Elegant and excellent features . Can be used for all occasionREAD MORE,5
